Spend line id,Source row count,Entity,Cluster,Country,Year,L1,L2,Supplier name,Net spend
spend_8ddc5adca17ece24,7,Demo Alpine Operations,Central,Germany,2024,Facilities,Building maintenance,Demo Supplier 001,41249.65
spend_14729e982621abc1,2,Demo Alpine Operations,Central,Germany,2024,Facilities,Building maintenance,Demo Supplier 002,11555.67
spend_eb22a92fc273f5b5,3,Demo Alpine Operations,Central,Germany,2024,Facilities,Building maintenance,Demo Supplier 003,27109.69
spend_9b6962e23e0a84fd,1,Demo Alpine Operations,Central,Germany,2024,Facilities,Building maintenance,Demo Supplier 004,3946.72
spend_83488bf47975cffa,2,Demo Alpine Operations,Central,Germany,2024,Facilities,Cleaning and security,Demo Supplier 005,19297.92
spend_9d78f58c123ecbc4,3,Demo Alpine Operations,Central,Germany,2024,Facilities,Cleaning and security,Demo Supplier 006,9092.51
spend_0d8b4648d4968113,6,Demo Alpine Operations,Central,Germany,2024,Facilities,Cleaning and security,Demo Supplier 007,20968.5
spend_b56a6fbe66e79642,1,Demo Alpine Operations,Central,Germany,2024,Facilities,Cleaning and security,Demo Supplier 008,2752.07
spend_234ed2aeaa16f869,3,Demo Alpine Operations,Central,Germany,2024,IT and telecom,Hardware,Demo Supplier 013,13294.64
spend_9700c2df1b5298f1,1,Demo Alpine Operations,Central,Germany,2024,IT and telecom,Hardware,Demo Supplier 014,7767.25
spend_37a5ec7c4c3cfe59,1,Demo Alpine Operations,Central,Germany,2024,IT and telecom,Hardware,Demo Supplier 015,4203.37
spend_605232dc2edfa849,1,Demo Alpine Operations,Central,Germany,2024,IT and telecom,Hardware,Demo Supplier 016,909.68
spend_56dd3f4a14a82207,3,Demo Alpine Operations,Central,Germany,2024,IT and telecom,Software licensing,Demo Supplier 009,13085.58
spend_6e47247d37c0b9bf,6,Demo Alpine Operations,Central,Germany,2024,IT and telecom,Software licensing,Demo Supplier 010,55566.05
spend_c0bc9ad0545f3a0a,4,Demo Alpine Operations,Central,Germany,2024,IT and telecom,Software licensing,Demo Supplier 011,23984.1
spend_6f518b009937db62,6,Demo Alpine Operations,Central,Germany,2024,IT and telecom,Software licensing,Demo Supplier 012,52866.31
spend_5dc0c1323c5b492c,2,Demo Alpine Operations,Central,Germany,2024,IT and telecom,Telecommunications,Demo Supplier 017,12844.28
spend_f08f2e68ae3e8b90,2,Demo Alpine Operations,Central,Germany,2024,IT and telecom,Telecommunications,Demo Supplier 018,4859.5
spend_3cac060dcaf1660c,1,Demo Alpine Operations,Central,Germany,2024,IT and telecom,Telecommunications,Demo Supplier 019,3607.28
spend_02c7c65a5009855c,2,Demo Alpine Operations,Central,Germany,2024,Logistics,Freight and courier,Demo Supplier 021,14771.63
spend_d808977e5b9ff173,3,Demo Alpine Operations,Central,Germany,2024,Logistics,Freight and courier,Demo Supplier 022,39719.02
spend_c2495f99066283e4,8,Demo Alpine Operations,Central,Germany,2024,Logistics,Freight and courier,Demo Supplier 023,60664.07
spend_bd208fa4b5046ade,2,Demo Alpine Operations,Central,Germany,2024,Logistics,Freight and courier,Demo Supplier 024,6450.7
spend_fec9a188044bfa37,2,Demo Alpine Operations,Central,Germany,2024,Marketing,Advertising and media,Demo Supplier 045,10284.87
